"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Spain (ES)","01.01.2020 00:00 - 01.01.2020 01:00 (UTC)","285","0","0","7113","435","110","0","0","0","","471","1425","4829","0","7097","14","97","15","257","0","1643"
"Spain (ES)","01.01.2020 01:00 - 01.01.2020 02:00 (UTC)","276","0","0","6745","420","110","0","0","0","","516","1419","4558","0","7097","14","92","15","258","0","1696"
"Spain (ES)","01.01.2020 02:00 - 01.01.2020 03:00 (UTC)","273","0","0","6497","392","110","0","0","0","","1038","1402","4377","0","7097","12","92","15","260","0","1700"
"Spain (ES)","01.01.2020 03:00 - 01.01.2020 04:00 (UTC)","274","0","0","6729","388","110","0","0","0","","1968","1396","4482","0","7097","12","95","16","261","0","1667"
"Spain (ES)","01.01.2020 04:00 - 01.01.2020 05:00 (UTC)","275","0","0","6710","395","110","0","0","0","","2237","1379","4449","0","7097","12","96","26","262","0","1625"
"Spain (ES)","01.01.2020 05:00 - 01.01.2020 06:00 (UTC)","276","0","0","7016","394","99","0","0","0","","2355","1369","4443","0","7096","14","98","30","261","0","1612"
"Spain (ES)","01.01.2020 06:00 - 01.01.2020 07:00 (UTC)","280","0","0","6775","394","97","0","0","0","","2300","1408","4453","0","7098","14","98","31","261","0","1526"
"Spain (ES)","01.01.2020 07:00 - 01.01.2020 08:00 (UTC)","269","0","0","6397","394","100","0","0","0","","1864","1402","4532","0","7096","14","102","67","263","0","1400"
"Spain (ES)","01.01.2020 08:00 - 01.01.2020 09:00 (UTC)","265","0","0","6159","394","100","0","0","0","","1615","1404","4533","0","7097","14","104","855","263","0","1184"
"Spain (ES)","01.01.2020 09:00 - 01.01.2020 10:00 (UTC)","259","0","0","5750","395","111","0","0","0","","1349","1406","4986","0","7096","15","103","2306","261","0","977"
"Spain (ES)","01.01.2020 10:00 - 01.01.2020 11:00 (UTC)","256","0","0","6116","394","114","0","0","0","","1503","1434","5312","0","7096","15","104","3415","262","0","777"
"Spain (ES)","01.01.2020 11:00 - 01.01.2020 12:00 (UTC)","257","0","0","6388","394","118","0","0","0","","1178","1438","5314","0","7095","14","107","4124","261","0","661"
"Spain (ES)","01.01.2020 12:00 - 01.01.2020 13:00 (UTC)","257","0","0","6049","395","118","0","0","0","","1112","1426","5104","0","7096","13","106","4389","260","0","569"
"Spain (ES)","01.01.2020 13:00 - 01.01.2020 14:00 (UTC)","261","0","0","5928","394","118","0","0","0","","757","1396","5029","0","7095","13","104","4373","251","0","531"
"Spain (ES)","01.01.2020 14:00 - 01.01.2020 15:00 (UTC)","263","0","0","6098","399","119","0","0","0","","549","1412","5009","0","7093","13","103","4106","241","0","464"
"Spain (ES)","01.01.2020 15:00 - 01.01.2020 16:00 (UTC)","264","0","0","6680","427","118","0","0","0","","421","1428","5137","0","7092","13","104","3065","239","0","434"
"Spain (ES)","01.01.2020 16:00 - 01.01.2020 17:00 (UTC)","265","0","0","7127","436","118","0","0","0","","4","1578","5943","0","7092","13","103","1234","240","0","495"
"Spain (ES)","01.01.2020 17:00 - 01.01.2020 18:00 (UTC)","256","0","0","7306","436","119","0","0","0","","0","1656","6693","0","7093","14","102","188","235","0","530"
"Spain (ES)","01.01.2020 18:00 - 01.01.2020 19:00 (UTC)","260","0","0","7753","435","107","0","0","0","","0","1672","6867","0","7092","14","102","87","238","0","622"
"Spain (ES)","01.01.2020 19:00 - 01.01.2020 20:00 (UTC)","255","0","0","7501","435","105","0","0","0","","0","1663","6703","0","7093","14","103","68","236","0","663"
"Spain (ES)","01.01.2020 20:00 - 01.01.2020 21:00 (UTC)","261","0","0","7527","433","106","0","0","0","","0","1651","7096","0","7094","15","102","64","227","0","664"
"Spain (ES)","01.01.2020 21:00 - 01.01.2020 22:00 (UTC)","263","0","0","7548","436","106","0","0","0","","0","1615","6138","0","7094","14","102","62","219","0","716"
"Spain (ES)","01.01.2020 22:00 - 01.01.2020 23:00 (UTC)","263","0","0","7496","435","107","0","0","0","","79","1455","5302","0","7095","14","101","63","210","0","811"
"Spain (ES)","01.01.2020 23:00 - 02.01.2020 00:00 (UTC)","261","0","0","6822","422","107","0","0","0","","342","1399","4485","0","7096","13","99","63","208","0","899"
"Spain (ES)","02.01.2020 00:00 - 02.01.2020 01:00 (UTC)","253","0","0","6356","399","122","0","0","0","","516","1389","4370","0","7097","13","99","63","213","0","1149"
"Spain (ES)","02.01.2020 01:00 - 02.01.2020 02:00 (UTC)","252","0","0","6362","394","125","0","0","0","","1583","1393","4310","0","7096","13","100","48","213","0","1414"
"Spain (ES)","02.01.2020 02:00 - 02.01.2020 03:00 (UTC)","255","0","0","6321","396","126","0","0","0","","2546","1381","4137","0","7096","13","97","29","215","0","1747"
"Spain (ES)","02.01.2020 03:00 - 02.01.2020 04:00 (UTC)","257","0","0","6259","458","127","0","0","0","","2668","1375","3982","0","7097","13","98","16","215","0","2035"
"Spain (ES)","02.01.2020 04:00 - 02.01.2020 05:00 (UTC)","258","0","0","6094","543","132","0","0","0","","2367","1375","4215","0","7097","12","98","16","212","0","2185"
"Spain (ES)","02.01.2020 05:00 - 02.01.2020 06:00 (UTC)","267","0","0","6871","627","133","0","0","0","","786","1374","4292","0","7097","13","98","15","211","0","2517"
"Spain (ES)","02.01.2020 06:00 - 02.01.2020 07:00 (UTC)","268","0","0","7464","659","139","0","0","0","","127","1500","5015","0","7096","13","98","15","202","0","2727"
"Spain (ES)","02.01.2020 07:00 - 02.01.2020 08:00 (UTC)","267","0","0","7872","678","186","0","0","0","","0","1549","5995","0","7095","12","97","36","193","0","2982"
"Spain (ES)","02.01.2020 08:00 - 02.01.2020 09:00 (UTC)","249","0","0","8374","677","203","0","0","0","","0","1560","6606","0","7095","12","99","637","213","0","3347"
"Spain (ES)","02.01.2020 09:00 - 02.01.2020 10:00 (UTC)","274","0","0","8676","665","207","0","0","0","","0","1607","6652","0","7095","12","100","1849","217","0","3710"
"Spain (ES)","02.01.2020 10:00 - 02.01.2020 11:00 (UTC)","266","0","0","9088","664","208","0","0","0","","0","1598","6703","0","7093","12","102","2716","220","0","3641"
"Spain (ES)","02.01.2020 11:00 - 02.01.2020 12:00 (UTC)","252","0","0","9539","680","214","0","0","0","","0","1605","6679","0","7093","13","107","3352","221","0","3312"
"Spain (ES)","02.01.2020 12:00 - 02.01.2020 13:00 (UTC)","269","0","0","9576","682","217","0","0","0","","0","1605","6631","0","7095","13","109","3625","222","0","3284"
"Spain (ES)","02.01.2020 13:00 - 02.01.2020 14:00 (UTC)","272","0","0","9823","679","216","0","0","0","","0","1618","6361","0","7095","14","109","3678","223","0","3283"
"Spain (ES)","02.01.2020 14:00 - 02.01.2020 15:00 (UTC)","277","0","0","9545","681","215","0","0","0","","0","1624","6106","0","7094","14","109","3450","222","0","3352"
"Spain (ES)","02.01.2020 15:00 - 02.01.2020 16:00 (UTC)","275","0","0","9428","681","214","0","0","0","","0","1625","6400","0","7095","14","108","2568","213","0","3313"
"Spain (ES)","02.01.2020 16:00 - 02.01.2020 17:00 (UTC)","281","0","0","9797","693","212","0","0","0","","0","1643","7207","0","7096","15","108","981","216","0","3378"
"Spain (ES)","02.01.2020 17:00 - 02.01.2020 18:00 (UTC)","278","0","0","9328","694","200","0","0","0","","0","1661","7446","0","7097","15","108","158","214","0","3561"
"Spain (ES)","02.01.2020 18:00 - 02.01.2020 19:00 (UTC)","278","0","0","9037","694","198","0","0","0","","0","1682","7213","0","7098","15","108","46","213","0","3728"
"Spain (ES)","02.01.2020 19:00 - 02.01.2020 20:00 (UTC)","268","0","0","8921","736","196","0","0","0","","0","1686","6736","0","7098","14","110","21","214","0","3969"
"Spain (ES)","02.01.2020 20:00 - 02.01.2020 21:00 (UTC)","285","0","0","9312","721","183","0","0","0","","0","1644","6120","0","7099","14","110","21","221","0","4245"
"Spain (ES)","02.01.2020 21:00 - 02.01.2020 22:00 (UTC)","282","0","0","7611","688","171","0","0","0","","0","1591","5716","0","7100","14","105","21","222","0","4339"
"Spain (ES)","02.01.2020 22:00 - 02.01.2020 23:00 (UTC)","283","0","0","6359","662","167","0","0","0","","0","1528","5296","0","7099","12","102","21","223","0","4334"
"Spain (ES)","02.01.2020 23:00 - 03.01.2020 00:00 (UTC)","292","0","0","5416","682","130","0","0","0","","8","1457","5155","0","7100","11","101","21","222","0","4262"
"Spain (ES)","03.01.2020 00:00 - 03.01.2020 01:00 (UTC)","286","0","0","5038","668","129","0","0","0","","942","1378","4461","0","7098","12","102","21","218","0","4076"
"Spain (ES)","03.01.2020 01:00 - 03.01.2020 02:00 (UTC)","290","0","0","5078","634","130","0","0","0","","1779","1412","4190","0","7099","12","101","21","217","0","3951"
"Spain (ES)","03.01.2020 02:00 - 03.01.2020 03:00 (UTC)","285","0","0","5082","595","130","0","0","0","","2322","1385","3979","0","7099","13","99","21","214","0","3973"
"Spain (ES)","03.01.2020 03:00 - 03.01.2020 04:00 (UTC)","283","0","0","5035","595","130","0","0","0","","2604","1384","3830","0","7099","14","99","21","217","0","4101"
"Spain (ES)","03.01.2020 04:00 - 03.01.2020 05:00 (UTC)","281","0","0","5368","595","130","0","0","0","","2066","1378","3744","0","7099","14","98","21","211","0","3932"
"Spain (ES)","03.01.2020 05:00 - 03.01.2020 06:00 (UTC)","283","0","0","6011","640","136","0","0","0","","794","1306","4067","0","7099","14","101","21","223","0","3686"
"Spain (ES)","03.01.2020 06:00 - 03.01.2020 07:00 (UTC)","282","0","0","6407","678","179","0","0","0","","222","1308","4025","0","7098","14","100","21","229","0","3579"
"Spain (ES)","03.01.2020 07:00 - 03.01.2020 08:00 (UTC)","285","0","0","7308","702","211","0","0","0","","0","1382","5061","0","7097","14","102","55","227","0","3279"
